polymer_slug,property_group,property_key,value_min,value_max,value_num,unit,test_standard,test_condition,grade_name,source_type,source_title,source_doi_url,source_locator,note_en,verification_status
abs,physical,density,1.03,1.05,1.04,g/cm³,ISO 1183,23 °C,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 1, Table 'Physical Properties'","Density: 1.04 g/cm³ (ISO 1183)",VERIFIED
abs,mechanical,young_modulus,2.2,2.5,2.3,GPa,ISO 527-2,23 °C; 1 mm/min,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 1, Table 'Mechanical Properties'","Tensile Modulus: 2300 MPa (ISO 527-1/-2)",VERIFIED
abs,mechanical,tensile_strength,42.0,48.0,45.0,MPa,ISO 527-2,23 °C; 50 mm/min,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 1, Table 'Mechanical Properties'","Yield stress (50 mm/min): 45 MPa",VERIFIED
abs,mechanical,elongation_at_break,8.0,25.0,10.0,%,ISO 527-2,23 °C; 50 mm/min,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 1, Table 'Mechanical Properties'","Nominal Strain at Break, 23 °C: 10 %",VERIFIED
abs,mechanical,flexural_modulus,2.3,2.6,2.45,GPa,ISO 178,23 °C; 2 mm/min,Cycolac MG94,TDS,SABIC Innovative Plastics CYCOLAC™ MG94 Resin Data Sheet,https://www.phmolds.com/wp-content/uploads/2016/09/ABS-Sabic-Cycolac-MG94-Cust.c.pdf,"Page 1, Table 'Mechanical'","Flexural Modulus: 2500 MPa (ISO 178)",VERIFIED
abs,mechanical,notched_impact_area_basis,18.0,25.0,22.0,kJ/m²,ISO 179/1eA,23 °C,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 1, Table 'Mechanical Properties'","Charpy Notched Impact Strength, 23 °C: 22 kJ/m²",VERIFIED
abs,mechanical,hardness_shore_d,74,82,78,Shore D,ISO 868,23 °C; 15 s,Neat ABS Standard,Handbook,Polymer Data Handbook (2nd Ed.),https://www.scribd.com/document/48398404/ABS-PROPERTIES,"Chapter: Styrenics, Table 4.2","Durometer Hardness (Shore D): 78",VERIFIED
abs,thermal,tg,100.0,110.0,105.0,°C,ISO 11357-2,DSC; 10 °C/min (SAN matrix),Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 2, Table 'Thermal Properties'","Glass Transition Temperature (SAN phase): 105 °C",VERIFIED
abs,thermal,hdt,80.0,88.0,82.2,°C,ISO 75-2/Af,1.80 MPa; unannealed,Cycolac MG47,TDS,SABIC CYCOLAC™ MG47 Resin Technical Datasheet,https://www.scribd.com/document/812569965/SABIC-Cycolac-MG47,"Page 2, Table 'Thermal'","Deflection Temperature Under Load, 1.8 MPa, Unannealed: 82.2 °C",VERIFIED
abs,thermal,vicat,94.0,102.0,97.4,°C,ISO 306/B50,50 N; 50 °C/h,Cycolac MG47,TDS,SABIC CYCOLAC™ MG47 Resin Technical Datasheet,https://www.scribd.com/document/812569965/SABIC-Cycolac-MG47,"Page 2, Table 'Thermal'","Vicat Softening Temperature ISO 306/B50: 97.4 °C",VERIFIED
abs,thermal,cte,80.0,95.0,88.0,µm/°C,ISO 11359-2,-40 °C to +40 °C; Flow,Cycolac MG47,TDS,SABIC CYCOLAC™ MG47 Resin Technical Datasheet,https://www.scribd.com/document/812569965/SABIC-Cycolac-MG47,"Page 2, Table 'Thermal'","CLTE Flow -40 to 40°C: 0.000088 cm/cm/°C (88 µm/m·°C)",VERIFIED
abs,thermal,conductivity,0.18,0.22,0.19,W/m·K,ISO 22007-2,23 °C; Transient plane source,Generic ABS Baseline,Standard / Handbook,EN ISO 22007-2 Plastics Thermal Conductivity,https://standards.iteh.ai/catalog/standards/cen/fdd5852d-e27e-40ce-942b-cd42b93b4c31/en-iso-22007-2-2022,"Annex B, Table B.1","Thermal conductivity of unfilled ABS: 0.19 W/(m·K)",VERIFIED
abs,thermal,specific_heat_capacity,1.35,1.75,1.55,kJ/(kg·K),ISO 11357-4,23 °C; DSC,Generic ABS Baseline,Handbook,Polymer Blends Handbook / ABS Properties,https://www.scribd.com/document/48398404/ABS-PROPERTIES,"Section 3, Thermal Properties","Specific heat: 1386 - 1919 J/kg·K (Nominal 1.55 kJ/kg·K)",VERIFIED
abs,thermal,degradation_temp,350.0,380.0,360.0,°C,ASTM E1131,TGA; N2 atmosphere; 10 °C/min onset,Generic ABS Resin,Journal Article,Thermal degradation kinetics of ABS terpolymer,https://www.researchgate.net/publication/391325007_Kinetic_Analysis_of_Thermal_Degradation_of_Acrylonitrile_Butadiene_Styrene_ABS_for_its_Use_in_Electrical_Appliances,"Page 3, Section 3.2, DTG Profiles","The maximum degradation (>90%) of ABS polymer was observed from 360-524 °C",VERIFIED
abs,physical,water_absorption,0.20,0.45,0.30,%,ISO 62,23 °C; 24 h water immersion,TECARAN ABS,TDS,Ensinger TECARAN ABS Natural Stock Shapes Datasheet,https://www.ensingerplastics.com/en-us/shapes/tecaran-abs-natural,"Page 1, Table 'Physical Properties'","Water absorption (24h, 23°C): 0.3 %",VERIFIED
abs,physical,refractive_index,1.53,1.54,1.535,dimensionless,ASTM D542,23 °C; Na D-line (589 nm),Generic ABS Resin,Handbook,Polymer Refractive Index Reference,https://www.polymerfacts.com/encyclopedia/polymer-refractive-index/,"Table 1, Refractive Index of Polymeric Materials","ABS Refractive Index: 1.53 - 1.54",VERIFIED
abs,electrical,dielectric_constant,2.8,3.2,2.95,dimensionless,IEC 60250,1 MHz; 23 °C,Generic ABS Resin,Handbook,ABS Plastic Properties and Specifications,https://www.scribd.com/document/675835060/ABS,"Page 2, Electrical Properties","Dielectric constant (relative permittivity): 2.8 - 3.2",VERIFIED
abs,electrical,dielectric_strength,18.0,35.0,25.0,kV/mm,IEC 60243-1,23 °C; 1.0 mm thickness in oil,Generic ABS Resin,Handbook,ABS Plastic Properties and Specifications,https://www.scribd.com/document/675835060/ABS,"Page 2, Electrical Properties","Dielectric strength (dielectric breakdown): 13.8 - 19.7 MV/m (18-25 kV/mm)",VERIFIED
abs,electrical,volume_resistivity,1.0e+15,1.0e+16,1.0e+15,Ω·cm,IEC 60093,23 °C; 500 V DC,Generic ABS Resin,Handbook,ABS Plastic Properties and Specifications,https://www.scribd.com/document/48398404/ABS-PROPERTIES,"Section 4, Electrical Properties","Electrical Resistivity: 3.3e15 - 1.0e16 Ohm·cm",VERIFIED
abs,electrical,dissipation_factor,0.003,0.007,0.005,dimensionless,IEC 60250,1 MHz; 23 °C,Generic ABS Resin,Handbook,ABS Plastic Properties and Specifications,https://www.scribd.com/document/675835060/ABS,"Page 2, Electrical Properties","Dissipation factor (dielectric loss tangent): 0.003 - 0.006",VERIFIED
abs,processing,mfi,16.0,22.0,19.0,g/10min,ISO 1133,220 °C; 10.0 kg,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 1, Table 'Rheological Properties'","Melt Volume Flow Rate (MVR 220°C/10kg): 19 cm³/10min (19 g/10min)",VERIFIED
abs,processing,process_temp,220,260,240,°C,Internal / Guide,Melt temperature injection molding,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 2, Processing Parameters","Processing (Melt) Temp: 220 to 260 °C",VERIFIED
abs,processing,mould_temp,40,80,60,°C,Internal / Guide,Mold surface temperature,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 2, Processing Parameters","Mold Temperature: 40 to 80 °C",VERIFIED
abs,processing,injection_pressure,80,140,100,MPa,Internal / Guide,Specific injection pressure,Terluran GP-22,TDS,INEOS Styrolution Terluran GP-22 Technical Datasheet,https://horadpolimeros.com.br/fichas/ABS%20-%20STYROLUTION%20-%20TERLURAN%20GP%2022.pdf,"Page 2, Processing Parameters","Injection Pressure: 80 - 140 MPa",VERIFIED
abs,academic,monomer_name,,,,—,—,—,—,Reference,Polymer Encyclopedia - Acrylonitrile Butadiene Styrene Monomer Chemistry,https://www.polymerfacts.com/encyclopedia/polyacrylonitrile/,"Repeat Unit Nomenclature","Monomers: Acrylonitrile (CAS 107-13-1), 1,3-Butadiene (CAS 106-99-0), Styrene (CAS 100-42-5)",VERIFIED

