polymer_slug,grade,property_group,property_key,value_num,value_min,value_max,unit,original_value,original_unit,test_standard,test_condition,source_title,source_locator,note_en,verification_status
polystyrene,Styrolution PS 158N,physical,density,1.04,1.04,1.04,g/cm³,1040,kg/m³,ISO 1183,23 °C,INEOS Styrolution PS 158N/L TDS,Page 2 - Other Properties,"Density ISO 1183 kg/m³ 1040",verified
polystyrene,Styrolution PS 158N,mechanical,tensile_strength,55,null,null,MPa,55,MPa,ISO 527,23 °C,INEOS Styrolution PS 158N/L TDS,Page 1 - Mechanical Properties,"Tensile Stress at Yield, 23 °C ISO 527 MPa 55",verified
polystyrene,Styrolution PS 158N,mechanical,young_modulus,3.3,null,null,GPa,3300,MPa,ISO 527,23 °C,INEOS Styrolution PS 158N/L TDS,Page 1 - Mechanical Properties,"Tensile Modulus ISO 527 MPa 3300",verified
polystyrene,Styrolution PS 158N,mechanical,elongation_at_break,3,null,null,%,3,%,ISO 527,23 °C,INEOS Styrolution PS 158N/L TDS,Page 1 - Mechanical Properties,"Tensile Strain at Break, 23 °C ISO 527 % 3",verified
polystyrene,Styrolution PS 158N,mechanical,flexural_modulus,2.05,null,null,GPa,2050,MPa,ISO 178,23 °C,INEOS Styrolution PS 158N/L TDS,Page 1 - Mechanical Properties,"Flexural Modulus ISO 178 MPa 2050",verified
polystyrene,Styrolution PS 158N,thermal,hdt,86,null,null,°C,86,°C,ISO 75,1.8 MPa annealed 4h/80°C,INEOS Styrolution PS 158N/L TDS,Page 1 - Thermal Properties,"Heat Deflection Temperature A; (annealed 4 h/80 °C; 1.8 MPa) ISO 75 °C 86",verified
polystyrene,Styrolution PS 158N,thermal,vicat,101,null,null,°C,101,°C,ISO 306,50 N 50 °C/h (VST/B/50),INEOS Styrolution PS 158N/L TDS,Page 1 - Thermal Properties,"Vicat Softening Temperature VST/B/50 (50N, 50 °C/h) ISO 306 °C 101",verified
polystyrene,Styrolution PS 158N,thermal,conductivity,0.17,null,null,W/m·K,0.17,W/(m·K),DIN 52612-1,23 °C,INEOS Styrolution PS 158N/L TDS,Page 2 - Thermal Properties,"Thermal Conductivity DIN 52612-1 W/(m K) 0.17",verified
polystyrene,Styrolution PS 158N,thermal,cte,80,null,null,µm/°C,80,10^-6/°C,ISO 11359,23 °C to 80 °C,INEOS Styrolution PS 158N/L TDS,Page 2 - Thermal Properties,"Coefficient of Linear Thermal Expansion ISO 11359 10^(-6)/°C 80",verified
polystyrene,Generic aPS,thermal,tg,100,90,105,°C,100,°C,DSC / ISO 11357,10 °C/min,Polymer Handbook (Brandrup & Immergut),Section VI/193,"Atactic polystyrene glass transition temperature range 90-105 °C",verified
