material_slug,property_key,property_name_en,property_name_fa,unit,plausible_min,plausible_max,current_value,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,note_fa,confidence,skip
hdpe,density,Density,چگالی,g/cm³,0.8,2.3,0.94 - 0.97,,,,,,,,,,,,,,,
hdpe,dielectric_constant,Dielectric Constant,ثابت دی‌الکتریک,dimensionless,1,10,2.3 - 2.4,2.28,2.32,,,polymer-handbook-4e,V/13,59,,,ASTM D150,At 1OOkHz and 23°C,increases with density increasing; same source range applied across LDPE/LLDPE/HDPE per curator note,,,
hdpe,process_temp,Processing Temperature,دمای فرآیند,°C,-50,450,200 - 240,,,,,,,,,,,,,,,
hdpe,tensile_strength,Tensile Strength,استحکام کششی,MPa,1,400,25 - 40,,,,,,,,,,,,,,,
hdpe,tg,Glass Transition Temperature,دمای انتقال شیشه‌ای,°C,-150,400,-120,,,,,,,,,,,,,,,
hdpe,dielectric_strength,Dielectric Strength,استحکام دی‌الکتریک,kV/mm,1,100,25 - 35,,,,,,,,,,,,,,,
hdpe,mfi,Melt Flow Index (MFI),شاخص جریان مذاب (MFI),g/10min,0.01,200,0.02 - 20,,,,,,,,,,,,,,,
hdpe,tm,Melting Temperature,دمای ذوب,°C,40,400,130 - 138,,,,,,,,,,,,,,,
hdpe,water_absorption,Water Absorption,جذب آب,%,0,10,? - 0.01,,,,,,,,,,,,,,,
hdpe,young_modulus,Young's Modulus,مدول یانگ,GPa,0.0005,400,0.5 - 1.5,,,,,,,,,,,,,,,
hdpe,bur,Blow-Up Ratio (BUR),نسبت دمش (BUR),,,,2:1 تا 6:1,,,,,,,,,,,,,,,
hdpe,elongation_at_break,Elongation at Break,ازدیاد طول تا پارگی,%,0,1000,50 - 600,,,,,,,,,,,,,,,
hdpe,enthalpy_exp,Experimental Heat of Fusion,آنتالپی ذوب تجربی,J/g,0,300,200 - 250,,,,,,,,,,,,,,,
hdpe,refractive_index,Refractive Index,ضریب شکست,dimensionless,1.3,1.7,1.54,,,,,,,,,,,,,,,
hdpe,volume_resistivity,Volume Resistivity,مقاومت ویژه حجمی,Ω·cm,1e-06,100000000000000000000,10000000000000000 - 1000000000000000000,,,,,,,,,,,,,,,
hdpe,dissipation_factor,Dissipation Factor,ضریب اتلاف,dimensionless,0,0.5,0.0003,,,,,,,,,,,,,,,
hdpe,enthalpy_100_cryst,Heat of Fusion at 100% Crystallinity,آنتالپی ذوب ۱۰۰٪ بلوری,J/g,0,300,293,,,,,,,,,,,,,,,
hdpe,flexural_modulus,Flexural Modulus,مدول خمشی,GPa,0.0005,400,0.5 - 1.5,,,,,,,,,,,,,,,
hdpe,oxygen_permeability,Oxygen Permeability,نفوذپذیری اکسیژن,cm³·mm/(m²·day·atm),0.01,20000,150 - 300,,,,,,,,,,,,,,,
hdpe,co2_permeability,CO2 Permeability,نفوذپذیری دی‌اکسید کربن,cm³·mm/(m²·day·atm),0.01,60000,500 - 1000,,,,,,,,,,,,,,,
hdpe,degradation_temp,Thermal Degradation Temperature,دمای تخریب حرارتی,°C,150,600,350 - 450,,,,,,,,,,,,,,,
hdpe,hardness_shore_d,Shore D Hardness,سختی شور D,Shore D,0,100,55 - 65,,,,,,,,,,,,,,,
hdpe,appearance,Appearance,ظاهر,,,,کدر / کدر متمایل به سفید (Opaque),,,,,,,,,,,,,,,
hdpe,hdt,Heat Deflection Temperature,دمای خمش تحت بار (HDT),°C,0,320,60 - 85,,,,,,,,,,,,,,,
hdpe,izod_impact,Izod Impact Strength,مقاومت ضربه آیزود,J/m,0,1500,20 - 60,,,,,,,,,,,,,,,
hdpe,vicat,Vicat Softening Temperature,دمای نرمی ویکات,°C,0,320,110 - 130,,,,,,,,,,,,,,,
hdpe,conductivity,Thermal Conductivity,ضریب هدایت حرارتی,W/m·K,0.05,5,0.45 - 0.55,,,,,,,,,,,,,,,
hdpe,cte,Coefficient of Thermal Expansion,ضریب انبساط حرارتی (CTE),µm/°C,20,400,120 - 180,,,,,,,,,,,,,,,
