material_slug,property_key,property_name_en,property_name_fa,unit,plausible_min,plausible_max,current_value,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,note_fa,confidence,skip
ldpe,density,Density,چگالی,g/cm³,0.8,2.3,0.91 - 0.925,0.906,0.98,,,polymer-handbook-4e,V/10,C,,,,,,,,
ldpe,dielectric_constant,Dielectric Constant,ثابت دی‌الکتریک,dimensionless,1,10,2.25 - 2.35,2.28,2.32,,,polymer-handbook-4e,V/13,59,,,ASTM D150,At 1OOkHz and 23°C,increases with density increasing,,,
ldpe,process_temp,Processing Temperature,دمای فرآیند,°C,-50,450,180 - 230,,,,,,,,,,,,,,,
ldpe,tensile_strength,Tensile Strength,استحکام کششی,MPa,1,400,8 - 15,,,,,,,,,,,,,,,
ldpe,tg,Glass Transition Temperature,دمای انتقال شیشه‌ای,°C,-150,400,-110,,,,,,,,,,,,,,,
ldpe,dielectric_strength,Dielectric Strength,استحکام دی‌الکتریک,kV/mm,1,100,20 - 30,,,,,,,,,,,,,,,
ldpe,mfi,Melt Flow Index (MFI),شاخص جریان مذاب (MFI),g/10min,0.01,200,0.2 - 20,,,,,,,,,,,,,,,
ldpe,tm,Melting Temperature,دمای ذوب,°C,40,400,105 - 115,137.5,138.5,,,polymer-handbook-4e,V/14,Melting Temperture,,,,,,,,
ldpe,water_absorption,Water Absorption,جذب آب,%,0,10,? - 0.01,,,,,,,,,,,,,,,
ldpe,young_modulus,Young's Modulus,مدول یانگ,GPa,0.0005,400,0.15 - 0.35,,,,,,,,,,,,,,,
ldpe,bur,Blow-Up Ratio (BUR),نسبت دمش (BUR),,,,2:1 تا 4:1,,,,,,,,,,,,,,,
ldpe,elongation_at_break,Elongation at Break,ازدیاد طول تا پارگی,%,0,1000,100 - 650,,,,,,,,,,,,,,,
ldpe,enthalpy_exp,Experimental Heat of Fusion,آنتالپی ذوب تجربی,J/g,0,300,115 - 160,,,,,,,,,,,,,,,
ldpe,refractive_index,Refractive Index,ضریب شکست,dimensionless,1.3,1.7,1.51,,,,,,,,,,,,,,,
ldpe,volume_resistivity,Volume Resistivity,مقاومت ویژه حجمی,Ω·cm,0.000001,1E+020,10000000000000000 - 1000000000000000000,,,,,,,,,,,,,,,
ldpe,dissipation_factor,Dissipation Factor,ضریب اتلاف,dimensionless,0,0.5,0.0002,,,,,,,,,,,,,,,
ldpe,enthalpy_100_cryst,Heat of Fusion at 100% Crystallinity,آنتالپی ذوب ۱۰۰٪ بلوری,J/g,0,300,293,,,,,,,,,,,,,,,
ldpe,flexural_modulus,Flexural Modulus,مدول خمشی,GPa,0.0005,400,0.2 - 0.4,,,,,,,,,,,,,,,
ldpe,oxygen_permeability,Oxygen Permeability,نفوذپذیری اکسیژن,cm³·mm/(m²·day·atm),0.01,20000,400 - 600,,,,,,,,,,,,,,,
ldpe,co2_permeability,CO2 Permeability,نفوذپذیری دی‌اکسید کربن,cm³·mm/(m²·day·atm),0.01,60000,1500 - 2000,,,,,,,,,,,,,,,
ldpe,degradation_temp,Thermal Degradation Temperature,دمای تخریب حرارتی,°C,150,600,300 - 400,,,,,,,,,,,,,,,
ldpe,hardness_shore_d,Shore D Hardness,سختی شور D,Shore D,0,100,40 - 50,,,,,,,,,,,,,,,
ldpe,appearance,Appearance,ظاهر,,,,نیمه‌شفاف (Translucent),,,,,,,,,,,,,,,
ldpe,hdt,Heat Deflection Temperature,دمای خمش تحت بار (HDT),°C,0,320,45 - 70,,,,,,,,,,,,,,,
ldpe,izod_impact,Izod Impact Strength,مقاومت ضربه آیزود,J/m,0,1500,,,,,,,,,,,,,,,,
ldpe,vicat,Vicat Softening Temperature,دمای نرمی ویکات,°C,0,320,85 - 95,,,,,,,,,,,,,,,
ldpe,conductivity,Thermal Conductivity,ضریب هدایت حرارتی,W/m·K,0.05,5,0.33 - 0.4,,,,,,,,,,,,,,,
ldpe,cte,Coefficient of Thermal Expansion,ضریب انبساط حرارتی (CTE),µm/°C,20,400,150 - 200,,,,,,,,,,,,,,,
