material_slug,property_key,property_name_en,property_name_fa,unit,plausible_min,plausible_max,current_value,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,note_fa,confidence,skip
lldpe,density,Density,چگالی,g/cm³,0.8,2.3,,,,,,,,,,,,,,,,
lldpe,dielectric_constant,Dielectric Constant,ثابت دی‌الکتریک,dimensionless,1,10,,2.28,2.32,,,polymer-handbook-4e,V/13,59,,,ASTM D150,At 1OOkHz and 23°C,increases with density increasing; same source range applied across LDPE/LLDPE/HDPE per curator note,,,
lldpe,process_temp,Processing Temperature,دمای فرآیند,°C,-50,450,,,,,,,,,,,,,,,,
lldpe,tensile_strength,Tensile Strength,استحکام کششی,MPa,1,400,,,,,,,,,,,,,,,,
lldpe,tg,Glass Transition Temperature,دمای انتقال شیشه‌ای,°C,-150,400,,,,,,,,,,,,,,,,
lldpe,dielectric_strength,Dielectric Strength,استحکام دی‌الکتریک,kV/mm,1,100,,,,,,,,,,,,,,,,
lldpe,mfi,Melt Flow Index (MFI),شاخص جریان مذاب (MFI),g/10min,0.01,200,,,,,,,,,,,,,,,,
lldpe,tm,Melting Temperature,دمای ذوب,°C,40,400,,,,,,,,,,,,,,,,
lldpe,water_absorption,Water Absorption,جذب آب,%,0,10,,,,,,,,,,,,,,,,
lldpe,young_modulus,Young's Modulus,مدول یانگ,GPa,0.0005,400,,,,,,,,,,,,,,,,
lldpe,bur,Blow-Up Ratio (BUR),نسبت دمش (BUR),,,,,,,,,,,,,,,,,,,
lldpe,elongation_at_break,Elongation at Break,ازدیاد طول تا پارگی,%,0,1000,,,,,,,,,,,,,,,,
lldpe,enthalpy_exp,Experimental Heat of Fusion,آنتالپی ذوب تجربی,J/g,0,300,,,,,,,,,,,,,,,,
lldpe,refractive_index,Refractive Index,ضریب شکست,dimensionless,1.3,1.7,,,,,,,,,,,,,,,,
lldpe,volume_resistivity,Volume Resistivity,مقاومت ویژه حجمی,Ω·cm,1e-06,100000000000000000000,,,,,,,,,,,,,,,,
lldpe,dissipation_factor,Dissipation Factor,ضریب اتلاف,dimensionless,0,0.5,,,,,,,,,,,,,,,,
lldpe,enthalpy_100_cryst,Heat of Fusion at 100% Crystallinity,آنتالپی ذوب ۱۰۰٪ بلوری,J/g,0,300,,,,,,,,,,,,,,,,
lldpe,flexural_modulus,Flexural Modulus,مدول خمشی,GPa,0.0005,400,,,,,,,,,,,,,,,,
lldpe,oxygen_permeability,Oxygen Permeability,نفوذپذیری اکسیژن,cm³·mm/(m²·day·atm),0.01,20000,,,,,,,,,,,,,,,,
lldpe,co2_permeability,CO2 Permeability,نفوذپذیری دی‌اکسید کربن,cm³·mm/(m²·day·atm),0.01,60000,,,,,,,,,,,,,,,,
lldpe,degradation_temp,Thermal Degradation Temperature,دمای تخریب حرارتی,°C,150,600,,,,,,,,,,,,,,,,
lldpe,hardness_shore_d,Shore D Hardness,سختی شور D,Shore D,0,100,,,,,,,,,,,,,,,,
lldpe,appearance,Appearance,ظاهر,,,,,,,,,,,,,,,,,,,
lldpe,hdt,Heat Deflection Temperature,دمای خمش تحت بار (HDT),°C,0,320,,,,,,,,,,,,,,,,
lldpe,izod_impact,Izod Impact Strength,مقاومت ضربه آیزود,J/m,0,1500,,,,,,,,,,,,,,,,
lldpe,vicat,Vicat Softening Temperature,دمای نرمی ویکات,°C,0,320,,,,,,,,,,,,,,,,
lldpe,conductivity,Thermal Conductivity,ضریب هدایت حرارتی,W/m·K,0.05,5,,,,,,,,,,,,,,,,
lldpe,cte,Coefficient of Thermal Expansion,ضریب انبساط حرارتی (CTE),µm/°C,20,400,,,,,,,,,,,,,,,,
