material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
pvc,,,,bur,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,injection_pressure,MPa,1.0,300.0,,,,,,,,,,,,,,
pvc,,,,mfi,g/10min,0.01,200.0,,,,,,,,,,,,,,
pvc,,,,mould_temp,°C,-20.0,300.0,,,,,,,,,,,,,,
pvc,,,,process_temp,°C,-50.0,450.0,,,,,,,,,,,,,,
pvc,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
pvc,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
pvc,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
pvc,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
pvc,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
pvc,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
pvc,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
pvc,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
pvc,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
pvc,,,,vicat,°C,0.0,320.0,,,,,,,,,,,,,,
pvc,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
pvc,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
pvc,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pvc,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
pvc,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
pvc,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
pvc,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pvc,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pvc,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
pvc,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pvc,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
pvc,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
pvc,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
pvc,,,,oxygen_permeability,cm³·mm/(m²·day·atm),0.01,20000.0,,,,,,,,,,,,,,
pvc,,,,refractive_index,dimensionless,1.3,1.7,,,,,,,,,,,,,,
pvc,,,,water_absorption,%,0.0,10.0,,,,,,,,,,,,,,
pvc,,,,dielectric_constant,dimensionless,1.0,10.0,,,,,,,,,,,,,,
pvc,,,,dielectric_strength,kV/mm,1.0,100.0,,,,,,,,,,,,,,
pvc,,,,dissipation_factor,dimensionless,0.0,0.5,,,,,,,,,,,,,,
pvc,,,,volume_resistivity,Ω·cm,1e-06,1e+20,,,,,,,,,,,,,,
pvc,,,,comonomer_content,wt%,0.0,20.0,,,,,,,,,,,,,,
pvc,,,,dp_range,dimensionless,10.0,100000.0,,,,,,,,,,,,,,
pvc,,,,entanglement_mw,g/mol,200.0,20000.0,,,,,,,,,,,,,,
pvc,,,,ffv,dimensionless,0.0,0.5,,,,,,,,,,,,,,
pvc,,,,flory_huggins_chi,dimensionless,-1.0,2.0,,,,,,,,,,,,,,
pvc,,,,hansen_d,MPa^0.5,0.0,25.0,,,,,,,,,,,,,,
pvc,,,,hansen_h,MPa^0.5,0.0,40.0,,,,,,,,,,,,,,
pvc,,,,hansen_p,MPa^0.5,0.0,20.0,,,,,,,,,,,,,,
pvc,,,,kinetic_notes,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,mechanism,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,mn,g/mol,500.0,5000000.0,,,,,,,,,,,,,,
pvc,,,,monomer_formula,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,monomer_molar_mass,g/mol,10.0,1000.0,,,,,,,,,,,,,,
pvc,,,,monomer_name,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,mw,g/mol,1000.0,10000000.0,,,,,,,,,,,,,,
pvc,,,,pdi,dimensionless,1.0,50.0,,,,,,,,,,,,,,
pvc,,,,persistence_length,nm,0.1,100.0,,,,,,,,,,,,,,
pvc,,,,power_law_index,dimensionless,0.0,1.0,,,,,,,,,,,,,,
pvc,,,,radius_of_gyration,nm,1.0,200.0,,,,,,,,,,,,,,
pvc,,,,repeating_unit,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,rheology_notes,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,solubility_parameter,MPa^0.5,10.0,30.0,,,,,,,,,,,,,,
pvc,,,,thermo_notes,(text -- citation only),,,,,,,,,,,,,,,,
pvc,,,,zero_shear_viscosity,Pa·s,1.0,1000000000.0,,,,,,,,,,,,,,
