material_slug,property_key,property_name_en,property_name_fa,unit,plausible_min,plausible_max,current_value,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,note_fa,confidence,skip,role,import_error
pvc,density,Density,چگالی,g/cm³,0.8,2.3,,,,,,,,,,,,,,,,,,
pvc,dielectric_constant,Dielectric Constant,ثابت دی‌الکتریک,dimensionless,1,10,,,,,,,,,,,,,,,,,,
pvc,process_temp,Processing Temperature,دمای فرآیند,°C,-50,450,,,,,,,,,,,,,,,,,,
pvc,tensile_strength,Tensile Strength,استحکام کششی,MPa,1,400,,,,,,,,,,,,,,,,,,
pvc,tg,Glass Transition Temperature,دمای انتقال شیشه‌ای,°C,-150,400,,,,,,,,,,,,,,,,,,
pvc,dielectric_strength,Dielectric Strength,استحکام دی‌الکتریک,kV/mm,1,100,,,,,,,,,,,,,,,,,,
pvc,mfi,Melt Flow Index (MFI),شاخص جریان مذاب (MFI),g/10min,0.01,200,,,,,,,,,,,,,,,,,,
pvc,water_absorption,Water Absorption,جذب آب,%,0,10,,,,,,,,,,,,,,,,,,
pvc,young_modulus,Young's Modulus,مدول یانگ,GPa,0.0005,400,,,,,,,,,,,,,,,,,,
pvc,bur,Blow-Up Ratio (BUR),نسبت دمش (BUR),,,,,,,,,,,,,,,,,,,,,
pvc,elongation_at_break,Elongation at Break,ازدیاد طول تا پارگی,%,0,1000,,,,,,,,,,,,,,,,,,
pvc,refractive_index,Refractive Index,ضریب شکست,dimensionless,1.3,1.7,,,,,,,,,,,,,,,,,,
pvc,volume_resistivity,Volume Resistivity,مقاومت ویژه حجمی,Ω·cm,1e-06,100000000000000000000,,,,,,,,,,,,,,,,,,
pvc,dissipation_factor,Dissipation Factor,ضریب اتلاف,dimensionless,0,0.5,,,,,,,,,,,,,,,,,,
pvc,flexural_modulus,Flexural Modulus,مدول خمشی,GPa,0.0005,400,,,,,,,,,,,,,,,,,,
pvc,oxygen_permeability,Oxygen Permeability,نفوذپذیری اکسیژن,cm³·mm/(m²·day·atm),0.01,20000,,,,,,,,,,,,,,,,,,
pvc,co2_permeability,CO2 Permeability,نفوذپذیری دی‌اکسید کربن,cm³·mm/(m²·day·atm),0.01,60000,,,,,,,,,,,,,,,,,,
pvc,degradation_temp,Thermal Degradation Temperature,دمای تخریب حرارتی,°C,150,600,,,,,,,,,,,,,,,,,,
pvc,hardness_shore_d,Shore D Hardness,سختی شور D,Shore D,0,100,,,,,,,,,,,,,,,,,,
pvc,appearance,Appearance,ظاهر,,,,,,,,,,,,,,,,,,,,,
pvc,hdt,Heat Deflection Temperature,دمای خمش تحت بار (HDT),°C,0,320,,,,,,,,,,,,,,,,,,
pvc,izod_impact,Izod Impact Strength,مقاومت ضربه آیزود,J/m,0,1500,,,,,,,,,,,,,,,,,,
pvc,vicat,Vicat Softening Temperature,دمای نرمی ویکات,°C,0,320,,,,,,,,,,,,,,,,,,
pvc,conductivity,Thermal Conductivity,ضریب هدایت حرارتی,W/m·K,0.05,5,,,,,,,,,,,,,,,,,,
pvc,cte,Coefficient of Thermal Expansion,ضریب انبساط حرارتی (CTE),µm/°C,20,400,,,,,,,,,,,,,,,,,,
