material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
abs,,,,bur,(text -- citation only),,,,,,,,,,,,,,,,
abs,,,,injection_pressure,MPa,1.0,300.0,,,,,,,,,,,,,,
abs,,,,mfi,g/10min,0.01,200.0,,,,,,,,,,,,,,
abs,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
abs,,,,mould_temp,°C,-20.0,300.0,,,,,,,,,,,,,,
abs,,,,process_temp,°C,-50.0,450.0,,,,,,,,,,,,,,
abs,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
abs,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
abs,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
abs,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
abs,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
abs,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
abs,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
abs,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
abs,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
abs,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
abs,,,,vicat,°C,0.0,320.0,,,,,,,,,,,,,,
abs,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
abs,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
abs,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
abs,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
abs,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
abs,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
abs,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
abs,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
abs,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
