material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
epdm,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
epdm,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
epdm,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
epdm,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
epdm,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
epdm,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
epdm,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
epdm,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
epdm,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
epdm,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
epdm,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
epdm,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
epdm,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
epdm,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
epdm,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
epdm,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
epdm,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
epdm,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
epdm,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
epdm,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
epdm,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
epdm,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
epdm,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,average_particle_size,µm,1.0,2000.0,,,,,,,,,,,,,,
epdm,,,,bulk_density,g/cm³,0.1,1.5,,,,,,,,,,,,,,
epdm,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
epdm,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
epdm,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
epdm,,,,inherent_viscosity,dL/g,0.2,3.0,,,,,,,,,,,,,,
epdm,,,,oxygen_permeability,cm³·mm/(m²·day·atm),0.01,20000.0,,,,,,,,,,,,,,
epdm,,,,refractive_index,dimensionless,1.3,1.7,,,,,,,,,,,,,,
epdm,,,,relative_viscosity,dimensionless,1.0,10.0,,,,,,,,,,,,,,
epdm,,,,volatile_content,%,0.0,5.0,,,,,,,,,,,,,,
epdm,,,,water_absorption,%,0.0,10.0,,,,,,,,,,,,,,
epdm,,,,dielectric_constant,dimensionless,1.0,10.0,,,,,,,,,,,,,,
epdm,,,,dielectric_strength,kV/mm,1.0,100.0,,,,,,,,,,,,,,
epdm,,,,dissipation_factor,dimensionless,0.0,0.5,,,,,,,,,,,,,,
epdm,,,,volume_resistivity,Ω·cm,1e-06,1e+20,,,,,,,,,,,,,,
epdm,,,,comonomer_content,wt%,0.0,20.0,,,,,,,,,,,,,,
epdm,,,,dp_range,dimensionless,10.0,100000.0,,,,,,,,,,,,,,
epdm,,,,entanglement_mw,g/mol,200.0,20000.0,,,,,,,,,,,,,,
epdm,,,,ffv,dimensionless,0.0,0.5,,,,,,,,,,,,,,
epdm,,,,flory_huggins_chi,dimensionless,-1.0,2.0,,,,,,,,,,,,,,
epdm,,,,hansen_d,MPa^0.5,0.0,25.0,,,,,,,,,,,,,,
epdm,,,,hansen_h,MPa^0.5,0.0,40.0,,,,,,,,,,,,,,
epdm,,,,hansen_p,MPa^0.5,0.0,20.0,,,,,,,,,,,,,,
epdm,,,,kinetic_notes,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,mechanism,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,mn,g/mol,500.0,5000000.0,,,,,,,,,,,,,,
epdm,,,,monomer_formula,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,monomer_molar_mass,g/mol,10.0,1000.0,,,,,,,,,,,,,,
epdm,,,,monomer_name,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,mw,g/mol,1000.0,10000000.0,,,,,,,,,,,,,,
epdm,,,,pdi,dimensionless,1.0,50.0,,,,,,,,,,,,,,
epdm,,,,persistence_length,nm,0.1,100.0,,,,,,,,,,,,,,
epdm,,,,power_law_index,dimensionless,0.0,1.0,,,,,,,,,,,,,,
epdm,,,,radius_of_gyration,nm,1.0,200.0,,,,,,,,,,,,,,
epdm,,,,repeating_unit,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,rheology_notes,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,solubility_parameter,MPa^0.5,10.0,30.0,,,,,,,,,,,,,,
epdm,,,,thermo_notes,(text -- citation only),,,,,,,,,,,,,,,,
epdm,,,,zero_shear_viscosity,Pa·s,1.0,1000000000.0,,,,,,,,,,,,,,
