material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
pa66,,,,bur,(text -- citation only),,,,,,,,,,,,,,,,
pa66,,,,injection_pressure,MPa,1.0,300.0,,,,,,,,,,,,,,
pa66,,,,mfi,g/10min,0.01,200.0,,,,,,,,,,,,,,
pa66,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
pa66,,,,mould_temp,°C,-20.0,300.0,,,,,,,,,,,,,,
pa66,,,,process_temp,°C,-50.0,450.0,,,,,,,,,,,,,,
pa66,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
pa66,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
pa66,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
pa66,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
pa66,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
pa66,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
pa66,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
pa66,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
pa66,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
pa66,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
pa66,,,,vicat,°C,0.0,320.0,,,,,,,,,,,,,,
pa66,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
pa66,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
pa66,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pa66,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
pa66,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
