material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
pc,,,,bur,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,injection_pressure,MPa,1.0,300.0,,,,,,,,,,,,,,
pc,,,,mfi,g/10min,0.01,200.0,,,,,,,,,,,,,,
pc,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
pc,,,,mould_temp,°C,-20.0,300.0,,,,,,,,,,,,,,
pc,,,,process_temp,°C,-50.0,450.0,,,,,,,,,,,,,,
pc,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
pc,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
pc,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
pc,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
pc,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
pc,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
pc,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
pc,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
pc,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
pc,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
pc,,,,vicat,°C,0.0,320.0,,,,,,,,,,,,,,
pc,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
pc,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
pc,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pc,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
pc,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
pc,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
pc,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
pc,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pc,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pc,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
pc,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pc,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,average_particle_size,µm,1.0,2000.0,,,,,,,,,,,,,,
pc,,,,bulk_density,g/cm³,0.1,1.5,,,,,,,,,,,,,,
pc,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
pc,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
pc,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
pc,,,,inherent_viscosity,dL/g,0.2,3.0,,,,,,,,,,,,,,
pc,,,,oxygen_permeability,cm³·mm/(m²·day·atm),0.01,20000.0,,,,,,,,,,,,,,
pc,,,,refractive_index,dimensionless,1.3,1.7,,,,,,,,,,,,,,
pc,,,,relative_viscosity,dimensionless,1.0,10.0,,,,,,,,,,,,,,
pc,,,,volatile_content,%,0.0,5.0,,,,,,,,,,,,,,
pc,,,,water_absorption,%,0.0,10.0,,,,,,,,,,,,,,
pc,,,,dielectric_constant,dimensionless,1.0,10.0,,,,,,,,,,,,,,
pc,,,,dielectric_strength,kV/mm,1.0,100.0,,,,,,,,,,,,,,
pc,,,,dissipation_factor,dimensionless,0.0,0.5,,,,,,,,,,,,,,
pc,,,,volume_resistivity,Ω·cm,1e-06,1e+20,,,,,,,,,,,,,,
pc,,,,comonomer_content,wt%,0.0,20.0,,,,,,,,,,,,,,
pc,,,,dp_range,dimensionless,10.0,100000.0,,,,,,,,,,,,,,
pc,,,,entanglement_mw,g/mol,200.0,20000.0,,,,,,,,,,,,,,
pc,,,,ffv,dimensionless,0.0,0.5,,,,,,,,,,,,,,
pc,,,,flory_huggins_chi,dimensionless,-1.0,2.0,,,,,,,,,,,,,,
pc,,,,hansen_d,MPa^0.5,0.0,25.0,,,,,,,,,,,,,,
pc,,,,hansen_h,MPa^0.5,0.0,40.0,,,,,,,,,,,,,,
pc,,,,hansen_p,MPa^0.5,0.0,20.0,,,,,,,,,,,,,,
pc,,,,kinetic_notes,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,mechanism,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,mn,g/mol,500.0,5000000.0,,,,,,,,,,,,,,
pc,,,,monomer_formula,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,monomer_molar_mass,g/mol,10.0,1000.0,,,,,,,,,,,,,,
pc,,,,monomer_name,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,mw,g/mol,1000.0,10000000.0,,,,,,,,,,,,,,
pc,,,,pdi,dimensionless,1.0,50.0,,,,,,,,,,,,,,
pc,,,,persistence_length,nm,0.1,100.0,,,,,,,,,,,,,,
pc,,,,power_law_index,dimensionless,0.0,1.0,,,,,,,,,,,,,,
pc,,,,radius_of_gyration,nm,1.0,200.0,,,,,,,,,,,,,,
pc,,,,repeating_unit,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,rheology_notes,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,solubility_parameter,MPa^0.5,10.0,30.0,,,,,,,,,,,,,,
pc,,,,thermo_notes,(text -- citation only),,,,,,,,,,,,,,,,
pc,,,,zero_shear_viscosity,Pa·s,1.0,1000000000.0,,,,,,,,,,,,,,
