material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
pla,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
pla,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
pla,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
pla,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
pla,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
pla,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
pla,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
pla,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
pla,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
pla,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
pla,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
pla,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
pla,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
pla,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pla,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
pla,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
pla,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
pla,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
pla,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pla,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pla,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
pla,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pla,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,average_particle_size,µm,1.0,2000.0,,,,,,,,,,,,,,
pla,,,,bulk_density,g/cm³,0.1,1.5,,,,,,,,,,,,,,
pla,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
pla,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
pla,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
pla,,,,inherent_viscosity,dL/g,0.2,3.0,,,,,,,,,,,,,,
pla,,,,oxygen_permeability,cm³·mm/(m²·day·atm),0.01,20000.0,,,,,,,,,,,,,,
pla,,,,refractive_index,dimensionless,1.3,1.7,,,,,,,,,,,,,,
pla,,,,relative_viscosity,dimensionless,1.0,10.0,,,,,,,,,,,,,,
pla,,,,volatile_content,%,0.0,5.0,,,,,,,,,,,,,,
pla,,,,water_absorption,%,0.0,10.0,,,,,,,,,,,,,,
pla,,,,dielectric_constant,dimensionless,1.0,10.0,,,,,,,,,,,,,,
pla,,,,dielectric_strength,kV/mm,1.0,100.0,,,,,,,,,,,,,,
pla,,,,dissipation_factor,dimensionless,0.0,0.5,,,,,,,,,,,,,,
pla,,,,volume_resistivity,Ω·cm,1e-06,1e+20,,,,,,,,,,,,,,
pla,,,,comonomer_content,wt%,0.0,20.0,,,,,,,,,,,,,,
pla,,,,dp_range,dimensionless,10.0,100000.0,,,,,,,,,,,,,,
pla,,,,entanglement_mw,g/mol,200.0,20000.0,,,,,,,,,,,,,,
pla,,,,ffv,dimensionless,0.0,0.5,,,,,,,,,,,,,,
pla,,,,flory_huggins_chi,dimensionless,-1.0,2.0,,,,,,,,,,,,,,
pla,,,,hansen_d,MPa^0.5,0.0,25.0,,,,,,,,,,,,,,
pla,,,,hansen_h,MPa^0.5,0.0,40.0,,,,,,,,,,,,,,
pla,,,,hansen_p,MPa^0.5,0.0,20.0,,,,,,,,,,,,,,
pla,,,,kinetic_notes,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,mechanism,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,mn,g/mol,500.0,5000000.0,,,,,,,,,,,,,,
pla,,,,monomer_formula,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,monomer_molar_mass,g/mol,10.0,1000.0,,,,,,,,,,,,,,
pla,,,,monomer_name,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,mw,g/mol,1000.0,10000000.0,,,,,,,,,,,,,,
pla,,,,pdi,dimensionless,1.0,50.0,,,,,,,,,,,,,,
pla,,,,persistence_length,nm,0.1,100.0,,,,,,,,,,,,,,
pla,,,,power_law_index,dimensionless,0.0,1.0,,,,,,,,,,,,,,
pla,,,,radius_of_gyration,nm,1.0,200.0,,,,,,,,,,,,,,
pla,,,,repeating_unit,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,rheology_notes,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,solubility_parameter,MPa^0.5,10.0,30.0,,,,,,,,,,,,,,
pla,,,,thermo_notes,(text -- citation only),,,,,,,,,,,,,,,,
pla,,,,zero_shear_viscosity,Pa·s,1.0,1000000000.0,,,,,,,,,,,,,,
