material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
pom,,,,bur,(text -- citation only),,,,,,,,,,,,,,,,
pom,,,,injection_pressure,MPa,1.0,300.0,,,,,,,,,,,,,,
pom,,,,mfi,g/10min,0.01,200.0,,,,,,,,,,,,,,
pom,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
pom,,,,mould_temp,°C,-20.0,300.0,,,,,,,,,,,,,,
pom,,,,process_temp,°C,-50.0,450.0,,,,,,,,,,,,,,
pom,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
pom,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
pom,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
pom,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
pom,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
pom,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
pom,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
pom,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
pom,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
pom,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
pom,,,,vicat,°C,0.0,320.0,,,,,,,,,,,,,,
pom,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
pom,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
pom,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pom,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
pom,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
pom,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
pom,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
pom,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pom,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
pom,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
pom,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
pom,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
pom,,,,average_particle_size,µm,1.0,2000.0,,,,,,,,,,,,,,
pom,,,,bulk_density,g/cm³,0.1,1.5,,,,,,,,,,,,,,
pom,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
pom,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
pom,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
pom,,,,inherent_viscosity,dL/g,0.2,3.0,,,,,,,,,,,,,,
