material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
ps,,,,bur,(text -- citation only),,,,,,,,,,,,,,,,
ps,,,,injection_pressure,MPa,1.0,300.0,,,,,,,,,,,,,,
ps,,,,mfi,g/10min,0.01,200.0,,,,,,,,,,,,,,
ps,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
ps,,,,mould_temp,°C,-20.0,300.0,,,,,,,,,,,,,,
ps,,,,process_temp,°C,-50.0,450.0,,,,,,,,,,,,,,
ps,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
ps,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
ps,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
ps,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
ps,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
ps,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
ps,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
ps,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
ps,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
ps,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
ps,,,,vicat,°C,0.0,320.0,,,,,,,,,,,,,,
ps,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
ps,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
ps,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
ps,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
ps,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
ps,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
ps,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
ps,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
ps,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
ps,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
ps,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
ps,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
ps,,,,average_particle_size,µm,1.0,2000.0,,,,,,,,,,,,,,
ps,,,,bulk_density,g/cm³,0.1,1.5,,,,,,,,,,,,,,
ps,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
ps,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
ps,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
ps,,,,inherent_viscosity,dL/g,0.2,3.0,,,,,,,,,,,,,,
ps,,,,oxygen_permeability,cm³·mm/(m²·day·atm),0.01,20000.0,,,,,,,,,,,,,,
ps,,,,refractive_index,dimensionless,1.3,1.7,,,,,,,,,,,,,,
ps,,,,relative_viscosity,dimensionless,1.0,10.0,,,,,,,,,,,,,,
ps,,,,volatile_content,%,0.0,5.0,,,,,,,,,,,,,,
ps,,,,water_absorption,%,0.0,10.0,,,,,,,,,,,,,,
ps,,,,dielectric_constant,dimensionless,1.0,10.0,,,,,,,,,,,,,,
ps,,,,dielectric_strength,kV/mm,1.0,100.0,,,,,,,,,,,,,,
ps,,,,dissipation_factor,dimensionless,0.0,0.5,,,,,,,,,,,,,,
ps,,,,volume_resistivity,Ω·cm,1e-06,1e+20,,,,,,,,,,,,,,
ps,,,,comonomer_content,wt%,0.0,20.0,,,,,,,,,,,,,,
ps,,,,dp_range,dimensionless,10.0,100000.0,,,,,,,,,,,,,,
ps,,,,entanglement_mw,g/mol,200.0,20000.0,,,,,,,,,,,,,,
ps,,,,ffv,dimensionless,0.0,0.5,,,,,,,,,,,,,,
ps,,,,flory_huggins_chi,dimensionless,-1.0,2.0,,,,,,,,,,,,,,
ps,,,,hansen_d,MPa^0.5,0.0,25.0,,,,,,,,,,,,,,
ps,,,,hansen_h,MPa^0.5,0.0,40.0,,,,,,,,,,,,,,
ps,,,,hansen_p,MPa^0.5,0.0,20.0,,,,,,,,,,,,,,
ps,,,,kinetic_notes,(text -- citation only),,,,,,,,,,,,,,,,
ps,,,,mechanism,(text -- citation only),,,,,,,,,,,,,,,,
ps,,,,mn,g/mol,500.0,5000000.0,,,,,,,,,,,,,,
ps,,,,monomer_formula,(text -- citation only),,,,,,,,,,,,,,,,
ps,,,,monomer_molar_mass,g/mol,10.0,1000.0,,,,,,,,,,,,,,
ps,,,,monomer_name,(text -- citation only),,,,,,,,,,,,,,,,
ps,,,,mw,g/mol,1000.0,10000000.0,,,,,,,,,,,,,,
ps,,,,pdi,dimensionless,1.0,50.0,,,,,,,,,,,,,,
ps,,,,persistence_length,nm,0.1,100.0,,,,,,,,,,,,,,
