material_slug,grade_class,grade_class_name_fa,grade_class_name_en,property_key,unit,plausible_min,plausible_max,value_min,value_max,value_typical,qualifier,source_key,page,table,figure,section,test_method,conditions,note_en,confidence,role
ptfe,,,,molding_shrinkage,%,0.0,10.0,,,,,,,,,,,,,,
ptfe,,,,brittleness_temp,°C,-196.0,50.0,,,,,,,,,,,,,,
ptfe,,,,conductivity,W/m·K,0.05,5.0,,,,,,,,,,,,,,
ptfe,,,,cte,µm/°C,20.0,400.0,,,,,,,,,,,,,,
ptfe,,,,degradation_temp,°C,150.0,600.0,,,,,,,,,,,,,,
ptfe,,,,hdt,°C,0.0,320.0,,,,,,,,,,,,,,
ptfe,,,,heat_of_combustion,kJ/g,10.0,60.0,,,,,,,,,,,,,,
ptfe,,,,heat_resistance_temp,°C,-40.0,300.0,,,,,,,,,,,,,,
ptfe,,,,limiting_oxygen_index,%,5.0,100.0,,,,,,,,,,,,,,
ptfe,,,,specific_heat_capacity,kJ/(kg·K),0.5,5.0,,,,,,,,,,,,,,
ptfe,,,,tg,°C,-150.0,400.0,,,,,,,,,,,,,,
ptfe,,,,elongation_at_break,%,0.0,1000.0,,,,,,,,,,,,,,
ptfe,,,,escr,h,0.0,5000.0,,,,,,,,,,,,,,
ptfe,,,,flexural_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
ptfe,,,,flexural_strength,MPa,1.0,500.0,,,,,,,,,,,,,,
ptfe,,,,hardness_brinell,MPa,0.0,500.0,,,,,,,,,,,,,,
ptfe,,,,hardness_shore_d,Shore D,0.0,100.0,,,,,,,,,,,,,,
ptfe,,,,izod_impact,J/m,0.0,1500.0,,,,,,,,,,,,,,
ptfe,,,,notched_impact_area_basis,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
ptfe,,,,tensile_impact_strength,kJ/m²,0.0,500.0,,,,,,,,,,,,,,
ptfe,,,,tensile_strength,MPa,1.0,400.0,,,,,,,,,,,,,,
ptfe,,,,young_modulus,GPa,0.0005,400.0,,,,,,,,,,,,,,
ptfe,,,,appearance,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,average_particle_size,µm,1.0,2000.0,,,,,,,,,,,,,,
ptfe,,,,bulk_density,g/cm³,0.1,1.5,,,,,,,,,,,,,,
ptfe,,,,co2_footprint_virgin,kg CO₂e/kg,0.0,30.0,,,,,,,,,,,,,,
ptfe,,,,co2_permeability,cm³·mm/(m²·day·atm),0.01,60000.0,,,,,,,,,,,,,,
ptfe,,,,density,g/cm³,0.8,2.3,,,,,,,,,,,,,,
ptfe,,,,inherent_viscosity,dL/g,0.2,3.0,,,,,,,,,,,,,,
ptfe,,,,oxygen_permeability,cm³·mm/(m²·day·atm),0.01,20000.0,,,,,,,,,,,,,,
ptfe,,,,refractive_index,dimensionless,1.3,1.7,,,,,,,,,,,,,,
ptfe,,,,relative_viscosity,dimensionless,1.0,10.0,,,,,,,,,,,,,,
ptfe,,,,volatile_content,%,0.0,5.0,,,,,,,,,,,,,,
ptfe,,,,water_absorption,%,0.0,10.0,,,,,,,,,,,,,,
ptfe,,,,dielectric_constant,dimensionless,1.0,10.0,,,,,,,,,,,,,,
ptfe,,,,dielectric_strength,kV/mm,1.0,100.0,,,,,,,,,,,,,,
ptfe,,,,dissipation_factor,dimensionless,0.0,0.5,,,,,,,,,,,,,,
ptfe,,,,volume_resistivity,Ω·cm,1e-06,1e+20,,,,,,,,,,,,,,
ptfe,,,,comonomer_content,wt%,0.0,20.0,,,,,,,,,,,,,,
ptfe,,,,dp_range,dimensionless,10.0,100000.0,,,,,,,,,,,,,,
ptfe,,,,entanglement_mw,g/mol,200.0,20000.0,,,,,,,,,,,,,,
ptfe,,,,ffv,dimensionless,0.0,0.5,,,,,,,,,,,,,,
ptfe,,,,flory_huggins_chi,dimensionless,-1.0,2.0,,,,,,,,,,,,,,
ptfe,,,,hansen_d,MPa^0.5,0.0,25.0,,,,,,,,,,,,,,
ptfe,,,,hansen_h,MPa^0.5,0.0,40.0,,,,,,,,,,,,,,
ptfe,,,,hansen_p,MPa^0.5,0.0,20.0,,,,,,,,,,,,,,
ptfe,,,,kinetic_notes,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,mechanism,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,mn,g/mol,500.0,5000000.0,,,,,,,,,,,,,,
ptfe,,,,monomer_formula,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,monomer_molar_mass,g/mol,10.0,1000.0,,,,,,,,,,,,,,
ptfe,,,,monomer_name,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,mw,g/mol,1000.0,10000000.0,,,,,,,,,,,,,,
ptfe,,,,pdi,dimensionless,1.0,50.0,,,,,,,,,,,,,,
ptfe,,,,persistence_length,nm,0.1,100.0,,,,,,,,,,,,,,
ptfe,,,,power_law_index,dimensionless,0.0,1.0,,,,,,,,,,,,,,
ptfe,,,,radius_of_gyration,nm,1.0,200.0,,,,,,,,,,,,,,
ptfe,,,,repeating_unit,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,rheology_notes,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,solubility_parameter,MPa^0.5,10.0,30.0,,,,,,,,,,,,,,
ptfe,,,,thermo_notes,(text -- citation only),,,,,,,,,,,,,,,,
ptfe,,,,zero_shear_viscosity,Pa·s,1.0,1000000000.0,,,,,,,,,,,,,,
